,AGE07,EDCL07,MARRIED07,KIDS07,OCCAT107,INCOME07,RISK07,NETWORTH07,TrueRiskTol
5591,76,4,1,0,3,644310.6647,3,6960251.7962,0.4634974140505843
5592,76,4,1,0,3,556982.60767,3,6963358.5892,0.4626034485376291
5593,76,4,1,0,3,584671.99161,3,6960251.7962,0.4887749112948073
5594,76,4,1,0,3,549527.77353,3,6960251.7962,0.464477915752452
5605,69,4,2,0,1,26624.407632,4,71218.050294,0.7596392836164705
5610,87,3,2,0,2,1188513.5567,1,326150398.53,0.5005233723169314
5611,87,3,2,0,2,1033559.5043,1,72894579.327,0.4741976243684385
5612,87,3,2,0,2,1492351.2966,1,237784818.81,0.4684248362628447
5613,87,3,2,0,2,1645707.8846,1,265282939.61,0.4622667952382673
5614,87,3,2,0,2,1419187.4244,1,101259495.36,0.4550406926632727
5637,30,2,1,0,1,78808.246592,2,51614.186806,49.68543327115747
5645,37,4,1,2,1,140576.8723,3,721190.20248,30.513258678437005
5646,37,4,1,2,1,149096.68274,3,382446.21163,31.46160203381476
5647,37,4,1,2,1,136316.96708,3,902523.35075,30.039087449035087
5648,37,4,1,2,1,145901.75383,3,907597.77923,31.10597314519848
5649,37,4,1,2,1,128862.13294,3,348064.36969,29.20928862880121
5650,48,3,1,1,1,97977.820087,3,86265.284128,16.781450725248078
5651,48,3,1,1,1,97977.820087,3,86161.724363,16.69795515634642
5652,48,3,1,1,1,97977.820087,3,202977.13912,16.781450725248078
5653,48,3,1,1,1,97977.820087,3,102627.72698,16.777570023336384
5654,48,3,1,1,1,97977.820087,3,95274.983671,16.781450725248078
5700,67,2,2,0,1,20234.549801,4,152874.92489,0.6951092569818746
5701,67,2,2,0,1,21299.526106,4,152874.92489,0.7028197957567053
5702,67,2,2,0,1,21299.526106,4,152978.48465,0.7028197957567053
5703,67,2,2,0,1,20234.549801,4,154014.0823,0.6952050233647942
5704,67,2,2,0,1,20234.549801,4,154014.0823,0.6951571408369871
5710,69,2,1,0,3,29819.336548,3,1247480.9275,0.5844487614061262
5713,69,2,1,0,3,29819.336548,3,1440723.4487,0.5997583993696032
5715,49,4,2,2,1,290738.53135,2,239740.85565,10.253417761396411
5717,49,4,2,2,1,310973.08115,2,236634.0627,10.594187536404633
5718,49,4,2,2,1,281153.7446,2,234562.86741,10.059122481736448
5719,49,4,2,2,1,273698.91046,2,238705.258,9.947667764806836
5730,57,4,1,0,1,112887.48836,3,1612943.3377,4.147419682206426
5731,57,4,1,0,1,112887.48836,3,1540451.5023,4.132450650119157
5732,57,4,1,0,1,112887.48836,3,2534625.2449,4.147419682206426
5733,57,4,1,0,1,112887.48836,3,1497991.9987,4.147419682206426
5734,57,4,1,0,1,112887.48836,3,1437927.3351,4.147419682206426
5745,59,4,2,1,1,55378.767875,3,490251.92685,1.5429718866913984
5746,59,4,2,1,1,55378.767875,3,489112.76943,1.502912714606047
5747,59,4,2,1,1,55378.767875,3,489216.3292,1.5131881255813928
5748,59,4,2,1,1,55378.767875,3,490251.92685,1.5370188626879564
5749,59,4,2,1,1,55378.767875,3,489216.3292,1.5424235555555723
5750,41,4,1,2,1,420665.64059,3,2027700.196,8.230497021428949
5751,41,4,1,2,1,405755.97232,3,1993525.4735,8.133784860292913
5752,41,4,1,2,1,352507.15705,3,2084658.0666,7.538288373797917
5753,41,4,1,2,1,332272.60725,3,2092942.8478,7.328225606954819
5754,41,4,1,2,1,420665.64059,3,1987311.8877,8.29805462363418
5790,57,2,1,1,4,99042.796392,3,380633.91574,4.306061022386396
5791,57,2,1,1,4,99042.796392,3,380633.91574,4.284056375652604
5793,57,2,1,1,4,99042.796392,3,380737.47551,4.614161617723399
5801,31,3,2,1,1,83068.151813,1,316892.88047,18.679639854856
5802,31,3,2,1,1,86369.578359,1,257656.69497,24.879445994228792
5804,31,3,2,1,1,83068.151813,1,165281.38472,26.475859283896103
5805,33,3,1,1,1,87328.057034,4,71456.237753,48.65295333120068
5806,33,3,1,1,1,87328.057034,4,71456.237753,48.65295333120068
5807,33,3,1,1,1,87328.057034,4,71456.237753,48.65295333120068
5808,33,3,1,1,1,87328.057034,4,71456.237753,48.65295333120068
5809,33,3,1,1,1,87328.057034,4,71456.237753,48.65295333120068
5818,54,1,1,1,3,15974.644579,4,46291.214892,5.696805109402556
5825,60,2,1,0,3,30884.312854,4,121372.04442,1.9622293249349605
5826,60,2,1,0,3,30884.312854,4,121475.60418,1.9414402833320348
5827,60,2,1,0,3,30884.312854,4,121475.60418,1.9622293249349605
5828,60,2,1,0,3,30884.312854,4,121475.60418,1.9414402833320348
5829,60,2,1,0,3,30884.312854,4,121372.04442,1.9414402833320348
5830,62,4,1,0,2,149096.68274,2,3235517.7335,1.0919778056431086
5831,62,4,1,0,2,149096.68274,2,3050145.7544,1.0893822020785036
5832,62,4,1,0,2,149096.68274,2,3008721.8485,1.0893822020785036
5833,62,4,1,0,2,149096.68274,2,2875129.7518,1.08933199046353
5834,62,4,1,0,2,149096.68274,2,2706327.3351,1.0893822020785036
5847,63,4,1,0,1,287543.60243,3,1161940.5617,2.428340280488234
5848,63,4,1,0,1,288608.57873,3,862652.84128,2.584409624159882
5850,55,2,1,1,1,127797.15664,4,474303.72306,4.193761785214177
5851,55,2,1,1,1,127797.15664,4,484659.69954,4.241470930387288
5852,55,2,1,1,1,127797.15664,4,488802.09014,4.229257099817586
5853,55,2,1,1,1,127797.15664,4,428737.42652,4.133509883097048
5854,55,2,1,1,1,127797.15664,4,430808.62182,4.219596206220178
5870,42,3,1,3,1,85198.104423,3,168595.29719,19.090551085233304
5891,59,4,1,0,3,199150.56909,3,8624250.098,0.7714131233183552
5892,59,4,1,0,3,198085.59278,3,6946581.9073,0.837154700426487
5893,59,4,1,0,3,198085.59278,3,8624250.098,0.7705198210692388
5894,59,4,1,0,3,198085.59278,3,8624250.098,0.7705198210692388
5899,72,3,2,0,3,145901.75383,4,3411880.0131,1.214430488986351
5920,58,4,1,1,2,292868.48396,3,2928670.1502,3.4510596051891973
5921,58,4,1,1,2,292868.48396,3,2929705.7479,3.405719378925097
5922,58,4,1,1,2,292868.48396,3,2929705.7479,3.405719378925097
5923,58,4,1,1,2,292868.48396,3,2929705.7479,3.370679023733852
5924,58,4,1,1,2,292868.48396,3,2929705.7479,3.407351597876463
5930,47,4,1,2,1,136316.96708,1,982782.16852,7.517424623102237
5931,47,4,1,2,1,136316.96708,1,805694.97061,7.6547854297817395
5932,47,4,1,2,1,136316.96708,1,811908.5565,7.435011325706356
5935,54,4,2,2,1,39404.123296,3,243261.88766,3.766155836407047
5937,54,4,2,2,1,39404.123296,3,221928.57609,3.7695161228667295
5938,54,4,2,2,1,39404.123296,3,241915.61071,3.771766687028213
5939,54,4,2,2,1,39404.123296,3,265423.67734,3.7667145927420775
5990,54,4,1,0,1,103302.70161,3,269990.66297,11.170143286525205
5991,54,4,1,0,1,102237.72531,3,354070.83605,11.03853392269331
5992,54,4,1,0,1,102237.72531,3,334964.05944,11.107773929164097
5993,54,4,1,0,1,102237.72531,3,293695.49314,11.04408937392606
5994,54,4,1,0,1,103302.70161,3,312129.13129,11.20545139933684
6025,57,4,1,0,1,2129952.6106,2,21636223.873,2.3539379266667613
6026,57,4,1,0,1,2129952.6106,2,21626903.494,2.3539379266667613
6027,57,4,1,0,1,2129952.6106,2,21625867.897,2.3539379266667613
6028,57,4,1,0,1,2129952.6106,2,21625867.897,2.3539379266667613
6029,57,4,1,0,1,2129952.6106,2,21637259.471,2.3539379266667613
6040,73,4,1,0,1,914814.64625,3,18234803.396,0.4521500000000134
6041,73,4,1,0,1,915879.62255,3,18233767.799,0.4521500000000134
6042,73,4,1,0,1,914814.64625,3,18234803.396,0.4521500000000134
6043,73,4,1,0,1,915879.62255,3,18233767.799,0.4521500000000134
6044,73,4,1,0,1,915879.62255,3,18234803.396,0.4521500000000134
6070,58,2,1,1,3,39404.123296,4,75909.307642,6.683392894600551
6071,58,2,1,1,3,39404.123296,4,75391.508818,6.868320159679976
6072,58,2,1,1,3,39404.123296,4,77566.26388,6.488737445614884
6073,58,2,1,1,3,39404.123296,4,76530.666231,6.587701699547069
6074,58,2,1,1,3,40469.099601,4,76116.427172,6.579241936122795
6075,63,4,1,2,1,187435.82973,2,7792872.3057,0.7546743777727246
6076,63,4,1,2,1,187435.82973,2,7783551.9268,0.7546743777727246
6077,63,4,1,2,1,188500.80604,2,8479473.5467,0.7547503468275691
6078,63,4,1,2,1,188500.80604,2,8154295.885,0.7547503468275691
6079,63,4,1,2,1,187435.82973,2,8316884.7159,0.7546743777727246
6130,37,4,1,2,1,80938.199202,2,156634.14435,41.25086058786575
6140,30,1,1,4,1,44729.004822,4,17770.85565,49.78119887400506
6141,30,1,1,4,1,44729.004822,4,16735.258001,49.78119887400506
6142,30,1,1,4,1,44729.004822,4,16735.258001,49.78119887400506
6143,30,1,1,4,1,44729.004822,4,16735.258001,49.78119887400506
6144,30,1,1,4,1,44729.004822,4,16735.258001,49.78119887400506
6155,84,4,2,0,3,27689.383938,3,1478885.2221,0.6162768595056252
6156,84,4,2,0,3,28754.360243,3,1513059.9445,0.6150405405415396
6157,84,4,2,0,3,31949.289159,3,1835130.8132,0.5695934579431494
6158,84,4,2,0,3,27689.383938,3,1764710.1731,0.5772871621634225
6159,84,4,2,0,3,28754.360243,3,1841344.3991,0.5685525231707157
6163,65,2,1,0,2,266244.07632,4,2065292.3906,1.557152431985387
6189,71,4,1,0,2,11608241.728,2,176541437.95,0.9601620886470484
6246,62,4,2,0,2,77743.270286,4,1312620.0196,1.3683630177062225
6247,62,4,2,0,2,91587.962255,4,3803232.3645,1.443766787370167
6248,62,4,2,0,2,91587.962255,4,2132813.3573,1.420654263672527
6249,62,4,2,0,2,88393.033339,4,1307058.8602,1.4429646869622876
6250,60,3,2,0,1,44729.004822,3,221825.01633,3.3697589797933896
6251,60,3,2,0,1,44729.004822,3,230006.23775,3.3513927409729787
6252,60,3,2,0,1,44729.004822,3,228970.6401,3.3549009689600995
6253,60,3,2,0,1,44729.004822,3,227935.04246,3.3724239088050085
6254,60,3,2,0,1,44729.004822,3,230006.23775,3.385497339127157
6275,61,4,1,0,2,74548.341371,3,1320770.1731,1.0989749106199844
6276,61,4,1,0,2,74548.341371,3,1429456.1463,1.0617134022789465
6278,61,4,1,0,2,74548.341371,3,1082541.29,1.2498612821017
6279,61,4,1,0,2,74548.341371,3,1511278.7165,1.1521611642456446
6285,50,4,2,0,1,182110.94821,2,2321499.2489,4.16947666146824
6286,50,4,2,0,1,182110.94821,2,2321499.2489,4.182546085793772
6287,50,4,2,0,1,182110.94821,2,2322534.8465,4.16947666146824
6288,50,4,2,0,1,182110.94821,2,2320463.6512,4.170711304396278
6289,50,4,2,0,1,182110.94821,2,2321499.2489,4.170711304396278
6300,43,4,1,2,1,144836.77752,2,556115.9373,16.716053082171396
6301,43,4,1,2,1,145901.75383,2,556115.9373,16.833489202151164
6302,43,4,1,2,1,145901.75383,2,556115.9373,16.833489202151164
6303,43,4,1,2,1,145901.75383,2,556115.9373,16.776068143007038
6304,43,4,1,2,1,145901.75383,2,556115.9373,16.833489202151164
6320,61,4,1,0,2,2034104.7431,3,86433775.865,0.6410952996151105
6322,61,4,1,0,2,2587892.4219,3,86423419.889,0.6704313136793518
6323,61,4,1,0,2,2545293.3697,3,86433775.865,0.6681746407850729
6324,61,4,1,0,2,2204500.952,3,86433775.865,0.6501215870562317
6330,49,3,1,0,2,157616.49318,1,3098508.1646,1.9276170193048865
6331,49,3,1,0,2,157616.49318,1,3131647.2894,1.9330402281075696
6332,49,3,1,0,2,156551.51688,1,3111970.934,1.917839809840589
6333,49,3,1,0,2,156551.51688,1,3186533.9647,1.914167955588451
6334,49,3,1,0,2,157616.49318,1,3151323.6447,1.969414402360984
6345,86,3,1,0,3,3354675.3617,3,12964646.963,0.4846836958416407
6346,86,3,1,0,3,3365325.1247,3,16651374.592,0.4816560897680768
6347,86,3,1,0,3,3365325.1247,3,15253317.766,0.4920760700674216
6348,86,3,1,0,3,2928684.8396,3,14776942.848,0.4823833834225094
6349,86,3,1,0,3,3322726.0725,3,15563997.061,0.5016361044274397
6375,44,4,1,2,1,261984.1711,2,902316.23122,17.922062749269664
6376,44,4,1,2,1,261984.1711,2,903351.82887,17.922062749269664
6377,44,4,1,2,1,261984.1711,2,903351.82887,17.922062749269664
6378,44,4,1,2,1,261984.1711,2,902316.23122,17.922062749269664
6379,44,4,1,2,1,261984.1711,2,903351.82887,17.922062749269664
6427,47,2,2,1,1,52183.838959,4,148732.53429,9.191399527912232
6428,47,2,2,1,1,51118.862654,4,136626.39778,9.209641254313247
6435,67,4,2,0,1,30884.312854,3,7321.6753756,86.33287971409527
6436,67,4,2,0,1,30884.312854,3,7321.6753756,86.33287971409527
6437,67,4,2,0,1,30884.312854,3,7321.6753756,86.33287971409527
6438,67,4,2,0,1,31949.289159,3,7321.6753756,87.8872040588175
6439,67,4,2,0,1,30884.312854,3,7321.6753756,86.33287971409527
6496,54,4,1,3,2,919074.55147,2,6664070.8687,5.343797370034865
6497,54,4,1,3,2,922269.48038,2,6267436.9693,5.448615552606563
6499,54,4,1,3,2,919074.55147,2,6116239.7126,5.322464885327763
6510,42,4,1,1,1,69223.459844,3,364944.61137,8.837048947524844
6511,42,4,1,1,1,69223.459844,3,365980.20901,8.837048947524844
6512,42,4,1,1,1,69223.459844,3,365980.20901,8.837048947524844
6513,42,4,1,1,1,69223.459844,3,365980.20901,8.837048947524844
6514,42,4,1,1,1,69223.459844,3,365980.20901,8.837048947524844
6515,35,2,1,1,1,42599.052212,4,35831.678641,42.01930280527786
6516,35,2,1,1,1,42599.052212,4,35831.678641,42.04290173805677
6517,35,2,1,1,1,42599.052212,4,35728.118877,41.55674967393972
6518,35,2,1,1,1,42599.052212,4,35831.678641,42.01930280527786
6519,35,2,1,1,1,42599.052212,4,35728.118877,42.04290173805677
6530,55,4,1,1,2,827486.58921,2,43902919.595,1.2414736585328991
6531,55,4,1,1,2,789147.44222,2,43707191.639,1.203685557623814
6532,55,4,1,1,2,798732.22897,2,42702144.121,1.2537164097634654
6533,55,4,1,1,2,840266.30488,2,44801196.995,1.2673347840115667
6534,55,4,1,1,2,695429.52736,2,42699969.366,1.237212732971665
6570,39,4,1,3,1,167201.27993,3,764788.86349,31.79552239875567
6573,39,4,1,3,1,167201.27993,3,763753.26584,31.79552239875567
6574,39,4,1,3,1,167201.27993,3,763753.26584,31.79552239875567
6590,42,3,1,1,1,72418.38876,4,115572.69758,23.6449685967021
6593,42,3,1,1,1,62833.602012,4,108913.8047,22.325078459869403
6594,42,3,1,1,1,76678.293981,4,136553.90594,24.67918209026248
6618,44,3,1,0,2,79873.222897,3,69281.482691,55.84011080098224
6625,42,3,2,0,1,29819.336548,3,54679.555846,68.72850660514041
6626,42,3,2,0,1,29819.336548,3,56750.751143,69.33868323861284
6627,42,3,2,0,1,29819.336548,3,55715.153494,68.72850660514041
6628,42,3,2,0,1,29819.336548,3,54679.555846,69.33868323861284
6629,42,3,2,0,1,29819.336548,3,49501.567603,69.33868323861284
6646,83,4,2,0,3,2129952.6106,3,30296409.21,0.6046845949935182
6648,83,4,2,0,3,2002155.454,3,28406443.501,0.5857704560277247
6650,55,3,1,0,2,485629.19521,3,4018325.9961,8.725002824758949
6652,55,3,1,0,2,485629.19521,3,4224513.4879,7.521240022861402
6654,55,3,1,0,2,364221.89641,3,5593470.0196,5.634864273985947
6655,49,4,2,0,1,68158.483539,3,422627.40039,4.702069481904562
6656,49,4,2,0,1,68158.483539,3,422627.40039,4.656785308379121
6657,49,4,2,0,1,68158.483539,3,422627.40039,4.672959268047009
6658,49,4,2,0,1,68158.483539,3,422627.40039,4.677054294806805
6659,49,4,2,0,1,68158.483539,3,422627.40039,4.677054294806805
6660,75,4,1,0,1,8966035.5143,1,80237681.218,0.4582653516379107
6661,75,4,1,0,1,9117262.1496,1,72923141.11,0.4593615149457298
6662,75,4,1,0,1,8979880.2062,1,73782904.634,0.4569365610125698
6663,75,4,1,0,1,9058688.4528,1,85501510.15,0.4630963056348771
6664,75,4,1,0,1,9122587.0311,1,81097424.03,0.4602510597627239
6670,69,2,1,0,3,56443.744181,4,126239.35336,1.096394005384703
6671,69,2,1,0,3,33014.265464,4,111533.86675,1.0368196605568545
6672,69,2,1,0,3,36209.19438,4,108737.7531,1.021398349657332
6673,69,2,1,0,3,46858.957433,4,165902.74331,1.239662140372245
6701,42,2,2,0,1,58573.696791,2,346510.97322,7.839905204561752
6715,47,4,1,2,1,127797.15664,4,135010.86545,24.7754897669757
6716,47,4,1,2,1,127797.15664,4,134648.40627,24.800437320670124
6717,47,4,1,2,1,127797.15664,4,134803.74592,24.78973286731089
6718,47,4,1,2,1,127797.15664,4,134928.01764,24.78118296727861
6719,47,4,1,2,1,127797.15664,4,134710.54213,24.79615325938286
6735,69,4,1,0,3,177851.04298,3,2133331.1561,0.5381582617211464
6736,69,4,1,0,3,177851.04298,3,2135402.3514,0.5393288290579465
6737,69,4,1,0,3,177851.04298,3,2135402.3514,0.5385383774942634
6738,69,4,1,0,3,177851.04298,3,2134366.7538,0.5382379829713537
6739,69,4,1,0,3,177851.04298,3,2134366.7538,0.5400951124187496
6740,67,2,2,0,3,25559.431327,3,546691.99869,1.322031315677271
6741,67,2,2,0,3,25559.431327,3,460116.03527,1.3195504917107097
6742,67,2,2,0,3,25559.431327,3,487766.49249,1.3131239058120276
6743,67,2,2,0,3,25559.431327,3,459080.43762,1.307708297255139
6744,67,2,2,0,3,25559.431327,3,441061.03854,1.3251474872929774
6755,63,4,1,0,3,9691.2843782,4,798549.34683,0.6615573536908632
6756,63,4,1,0,3,9691.2843782,4,801138.34095,0.6633761094851319
6757,63,4,1,0,3,9797.7820087,4,802173.9386,0.6612577106713966
6758,63,4,1,0,3,9691.2843782,4,801138.34095,0.6615794632815679
6759,63,4,1,0,3,9691.2843782,4,802898.85696,0.6622324581923467
6763,40,4,1,1,1,239619.66869,3,3833782.4951,16.506027395256954
6780,45,1,1,3,1,34079.241769,4,155339.64729,5.085394233363976
6781,45,1,1,3,1,34079.241769,4,144983.6708,5.085394233363976
6782,45,1,1,3,1,34079.241769,4,142912.47551,5.085394233363976
6783,45,1,1,3,1,34079.241769,4,149126.0614,5.085394233363976
6784,45,1,1,3,1,34079.241769,4,151197.25669,5.085394233363976
6805,65,4,1,0,1,159746.44579,3,710937.78576,1.1650771792376573
6806,65,4,1,0,1,159746.44579,3,730614.14108,1.1524520544293495
6808,65,4,1,0,1,159746.44579,3,714044.57871,1.1179789706973589
6809,65,4,1,0,1,159746.44579,3,777216.03527,1.1653124816120677
6815,50,3,1,0,2,4845642.1891,2,26573435.663,26.45369710658512
6816,50,3,1,0,2,4856291.9521,2,28582495.101,26.48458452626356
6817,50,3,1,0,2,4856291.9521,2,35634915.088,26.48458452626356
6818,50,3,1,0,2,4856291.9521,2,26573435.663,26.48458452626356
6819,50,3,1,0,2,4866941.7152,2,26229617.244,26.51547196069769
6820,64,2,1,0,3,44729.004822,4,504025.37557,1.3024022115230127
6821,64,2,1,0,3,44729.004822,4,505060.97322,1.3024022115230127
6822,64,2,1,0,3,44729.004822,4,505060.97322,1.3024022115230127
6823,64,2,1,0,3,44729.004822,4,504025.37557,1.3024022115230127
6824,64,2,1,0,3,44729.004822,4,505060.97322,1.3024022115230127
6825,54,3,1,2,1,148031.70644,3,719740.36577,5.00739405240838
6840,49,3,2,1,1,132057.06186,3,385449.44481,6.456342151782529
6841,49,3,2,1,1,132057.06186,3,385449.44481,6.456342151782529
6842,49,3,2,1,1,132057.06186,3,385449.44481,6.456342151782529
6843,49,3,2,1,1,132057.06186,3,385449.44481,6.456342151782529
6844,49,3,2,1,1,132057.06186,3,386381.48269,6.4511529545685935
6860,89,2,2,0,3,17039.620885,4,643934.6179,0.5830488188985942
6861,89,2,2,0,3,15974.644579,4,643934.6179,0.5830488188985942
6862,89,2,2,0,3,15974.644579,4,643831.05813,0.5830488188985942
6863,89,2,2,0,3,17039.620885,4,643934.6179,0.5830488188985942
6864,89,2,2,0,3,17039.620885,4,643934.6179,0.5830488188985942
6895,40,3,1,1,1,66028.530928,3,69281.482691,12.306034674503389
6896,40,3,1,1,1,66028.530928,3,69177.922926,12.306034674503389
6897,40,3,1,1,1,66028.530928,3,69177.922926,12.306034674503389
6898,40,3,1,1,1,66028.530928,3,69281.482691,12.306034674503389
6899,40,3,1,1,1,66028.530928,3,69177.922926,12.306034674503389
6905,59,2,2,0,3,20234.549801,2,143326.71457,1.918530804955708
6906,59,2,2,0,3,15974.644579,2,147572.66492,1.6068687448397017
6925,25,4,1,0,1,160811.4221,1,1572140.7903,44.2395520078433
6928,25,4,1,0,1,161876.3984,1,1865567.0281,44.10652348629336
6929,25,4,1,0,1,159746.44579,1,1036943.9255,48.6004739243165
6935,36,4,1,2,1,395106.20926,1,204634.09536,58.81898839515542
6936,36,4,1,2,1,396171.18557,1,205773.25278,59.45002360291922
6937,36,4,1,2,1,395106.20926,1,203598.49771,59.17523424941899
6938,36,4,1,2,1,396171.18557,1,205773.25278,58.62504617493504
6939,36,4,1,2,1,395106.20926,1,205773.25278,59.51663074338814
6940,38,4,1,3,1,44729.004822,3,146019.26845,14.265157776913934
6941,38,4,1,3,1,43664.028517,3,146019.26845,14.11119794955753
6942,38,4,1,3,1,43664.028517,3,146019.26845,14.11119794955753
6945,60,3,1,0,1,159746.44579,3,1243545.6564,2.193945387657916
6946,60,3,1,0,1,159746.44579,3,1308477.629,2.16872795287449
6947,60,3,1,0,1,159746.44579,3,1194458.3279,2.2333344738004106
6948,60,3,1,0,1,159746.44579,3,1140814.3697,2.241219506906256
6949,60,3,1,0,1,159746.44579,3,1367506.695,2.230599384752498
6950,69,4,1,0,3,88393.033339,3,2242068.9092,0.5669037818945739
6951,69,4,1,0,3,88393.033339,3,2242068.9092,0.5669037818945739
6952,69,4,1,0,3,88393.033339,3,2242068.9092,0.5669037818945739
6953,69,4,1,0,3,88393.033339,3,2243104.5069,0.5669037818945739
6954,69,4,1,0,3,88393.033339,3,2242068.9092,0.5669037818945739
6961,39,3,1,2,2,106497.63053,3,434951.01241,39.26517758976716
6963,39,3,1,2,2,106497.63053,3,434951.01241,39.26517758976716
6964,39,3,1,2,2,106497.63053,3,437022.20771,39.0798807058232
7007,62,2,1,1,2,55378.767875,4,179572.63227,4.341651231619405
7009,62,2,1,1,2,75613.317676,4,190757.08687,5.004031484351803
7025,56,4,1,0,1,126732.18033,3,1048749.7387,10.531270576732034
7026,56,4,1,0,1,126732.18033,3,1047817.7008,10.531270576732034
7027,56,4,1,0,1,126732.18033,3,1041500.5552,10.531270576732034
7028,56,4,1,0,1,126732.18033,3,1042266.8975,10.531270576732034
7029,56,4,1,0,1,126732.18033,3,1044710.9079,10.531270576732034
7045,51,1,1,2,1,26624.407632,4,106490.50621,6.104659905335385
7046,51,1,1,2,1,26624.407632,4,88253.631613,6.007643965849837
7047,51,1,1,2,1,26624.407632,4,95502.815153,6.007643965849837
7048,51,2,1,2,1,25559.431327,4,110322.2175,5.797027567939969
7049,51,1,1,2,1,26624.407632,4,109172.70411,5.910386285338216
7050,48,4,1,2,2,396171.18557,3,3421614.631,6.644478154144192
7051,48,4,1,2,2,396171.18557,3,3421614.631,6.644478154144192
7052,48,4,1,2,2,397236.16187,3,3421614.631,6.653080924136763
7053,48,4,1,2,2,397236.16187,3,3422650.2286,6.653080924136763
7054,48,4,1,2,2,396171.18557,3,3421614.631,6.644478154144192
7065,52,2,1,2,4,198085.59278,2,694989.58197,9.57527555584043
7066,52,2,1,2,4,225774.97672,2,686704.80078,9.903665514252948
7067,52,2,1,2,4,172526.16146,2,670135.23841,8.742972320148006
7069,52,2,1,2,4,225774.97672,2,635960.516,10.140158362642705
7075,38,2,1,1,1,74548.341371,4,110601.82887,48.53662524531872
7076,38,2,1,1,1,74548.341371,4,121993.403,48.53662524531872
7077,38,2,1,1,1,74548.341371,4,117851.01241,48.53662524531872
7078,38,2,1,1,1,74548.341371,4,113605.06205,48.55783776106203
7079,38,2,1,1,1,74548.341371,4,114744.21946,48.53662524531872
7085,50,2,1,1,1,79873.222897,3,249371.91378,10.399451158422632
7086,50,2,1,1,1,79873.222897,3,282511.03854,10.526505662084377
7087,50,2,1,1,1,79873.222897,3,248336.31613,11.161780136593908
7088,50,2,1,1,1,79873.222897,3,261799.08556,10.462978391706727
7089,50,2,1,1,1,79873.222897,3,265941.47616,10.844142524600237
7095,65,1,2,0,3,26624.407632,4,296543.38668,0.8269703554830039
7096,65,1,2,0,3,26624.407632,4,296543.38668,0.8269703554830039
7097,65,1,2,0,3,27689.383938,4,296543.38668,0.8354098742774527
7098,65,1,2,0,3,27689.383938,4,296543.38668,0.8395026125975623
7099,65,1,2,0,3,26624.407632,4,296543.38668,0.8310349180002561
7100,41,3,1,2,1,127797.15664,3,546795.55846,22.199611244609702
7101,41,3,1,2,1,128862.13294,3,356245.59112,22.274947110597555
7102,41,3,1,2,1,127797.15664,3,370743.9582,22.18426044814474
7103,41,3,1,2,1,128862.13294,3,376957.54409,22.35820586301404
7104,41,3,1,2,1,127797.15664,3,438057.80536,21.904436959539343
7135,33,1,1,3,1,57508.720486,4,191896.24428,50.65281428651348
7136,33,1,1,3,1,57508.720486,4,191792.68452,50.65281428651348
7137,33,1,1,3,1,57508.720486,4,191792.68452,50.65281428651348
7138,33,1,1,3,1,57508.720486,4,193625.69236,50.65281428651348
7139,33,1,1,3,1,57508.720486,4,190964.2064,50.65281428651348
7140,42,2,1,3,2,181045.9719,3,1871117.8315,9.243102674728814
7141,42,2,1,3,2,173591.13776,3,1714742.5865,9.05478324685479
7143,42,2,1,3,2,140576.8723,3,1930146.8975,8.220841804477027
7144,42,2,1,3,2,189565.78234,3,1731312.1489,9.45832824666919
7160,53,4,1,3,2,392976.25665,1,2570871.1626,13.695318485608308
7161,53,4,1,3,2,392976.25665,1,2561032.985,13.730231130280693
7162,53,4,1,3,2,391911.28035,1,2559997.3873,13.77003947706865
7163,53,4,1,3,2,391911.28035,1,2579363.0634,13.638908900800589
7164,53,4,1,3,2,392976.25665,1,2588994.1215,13.460207285902635
7176,59,1,1,0,3,74548.341371,3,474396.92685,1.891946579958308
7178,59,1,1,0,3,74548.341371,3,486233.80797,1.9699955819463808
7185,43,4,2,0,1,50053.886349,4,282718.15807,8.812437088445204
7186,43,4,2,0,1,50053.886349,4,283753.75572,8.831418214620848
7187,43,4,2,0,1,50053.886349,4,283753.75572,8.722072328939955
7188,43,4,2,0,1,50053.886349,4,284789.35336,8.678252232148129
7189,43,4,2,0,1,48988.910043,4,284789.35336,8.6835935873479
7205,69,4,2,0,3,96912.843782,3,2207894.1868,0.8046482066754562
7206,69,4,2,0,3,220450.0952,3,2157149.902,0.772760243824135
7207,69,4,2,0,3,151226.63535,3,2208929.7845,0.7745529009263168
7208,69,4,2,0,3,72418.38876,3,2226534.9445,0.8433455139093987
7212,41,4,1,3,1,111822.51206,3,854368.06009,7.496943906972675
7260,53,4,1,1,1,119277.34619,3,1077435.7936,4.345466497654215
7263,53,4,1,1,1,119277.34619,3,1072257.8054,4.016706751711126
7265,43,4,1,2,2,233229.81086,2,845151.24102,17.316513898199254
7266,43,4,1,2,2,246009.52652,2,802173.9386,18.430088104983646
7267,43,4,1,2,2,254529.33697,2,806937.68779,19.85746739619571
7268,43,4,1,2,2,225774.97672,2,840076.81254,19.049539773126032
7269,43,4,1,2,2,226839.95303,2,892063.8145,17.0789252539033
7295,36,2,1,2,1,87328.057034,2,151922.17505,27.431674764869697
7296,36,2,1,2,1,87328.057034,2,137527.36773,27.431674764869697
7297,36,2,1,2,1,87328.057034,2,156168.12541,27.431674764869697
